attribute,Before filtering,After filtering,sample
Q30 Bases (millions),1517.844283,1517.83864,SRX5129663_U2OS_siRTEL1
Q20 Rate,0.987652,0.98766,SRX5129663_U2OS_siRTEL1
Q30 Rate,0.925602,0.925612,SRX5129663_U2OS_siRTEL1
Read1 Mean Length,50,50,SRX5129663_U2OS_siRTEL1
GC Content,0.462945,0.462944,SRX5129663_U2OS_siRTEL1
Total Reads (millions),32.799538,32.799071,SRX5129665_U2OS_siRTEL1_APH
Total Bases (millions),1639.9769,1639.95355,SRX5129665_U2OS_siRTEL1_APH
Q20 Bases (millions),1619.277647,1619.267879,SRX5129665_U2OS_siRTEL1_APH
Q30 Bases (millions),1516.621983,1516.616567,SRX5129665_U2OS_siRTEL1_APH
Q20 Rate,0.987378,0.987386,SRX5129665_U2OS_siRTEL1_APH
Q30 Rate,0.924783,0.924792,SRX5129665_U2OS_siRTEL1_APH
Read1 Mean Length,50,50,SRX5129665_U2OS_siRTEL1_APH
GC Content,0.463326,0.463325,SRX5129665_U2OS_siRTEL1_APH
Total Reads (millions),55.172378,53.399164,SRX5290925_OSKM-D0-DRIPseq-rep1
Total Bases (millions),8275.8567,7923.43383,SRX5290925_OSKM-D0-DRIPseq-rep1
Q20 Bases (millions),7941.472546,7684.510103,SRX5290925_OSKM-D0-DRIPseq-rep1
Q30 Bases (millions),7586.785244,7382.482697,SRX5290925_OSKM-D0-DRIPseq-rep1
Q20 Rate,0.959595,0.969846,SRX5290925_OSKM-D0-DRIPseq-rep1
Q30 Rate,0.916737,0.931728,SRX5290925_OSKM-D0-DRIPseq-rep1
Read1 Mean Length,150,148,SRX5290925_OSKM-D0-DRIPseq-rep1
Read2 Mean Length,150,148,SRX5290925_OSKM-D0-DRIPseq-rep1
GC Content,0.426629,0.424061,SRX5290925_OSKM-D0-DRIPseq-rep1
Total Reads (millions),66.816522,64.481452,SRX5290926_OSKM-D0-DRIPseq-rep2
Total Bases (millions),10022.4783,9500.043638,SRX5290926_OSKM-D0-DRIPseq-rep2
Q20 Bases (millions),9596.811179,9204.62483,SRX5290926_OSKM-D0-DRIPseq-rep2
Q30 Bases (millions),9151.025904,8832.145233,SRX5290926_OSKM-D0-DRIPseq-rep2
Q20 Rate,0.957529,0.968903,SRX5290926_OSKM-D0-DRIPseq-rep2
Q30 Rate,0.91305,0.929695,SRX5290926_OSKM-D0-DRIPseq-rep2
Read1 Mean Length,150,147,SRX5290926_OSKM-D0-DRIPseq-rep2
Read2 Mean Length,150,147,SRX5290926_OSKM-D0-DRIPseq-rep2
GC Content,0.428897,0.425502,SRX5290926_OSKM-D0-DRIPseq-rep2
Total Reads (millions),77.175904,74.865134,SRX5290927_OSKM-D1-DRIPseq-rep1
Total Bases (millions),11576.3856,10854.740494,SRX5290927_OSKM-D1-DRIPseq-rep1
Q20 Bases (millions),11126.064723,10544.414209,SRX5290927_OSKM-D1-DRIPseq-rep1
Q30 Bases (millions),10647.843021,10150.101647,SRX5290927_OSKM-D1-DRIPseq-rep1
Q20 Rate,0.9611,0.971411,SRX5290927_OSKM-D1-DRIPseq-rep1
Q30 Rate,0.91979,0.935085,SRX5290927_OSKM-D1-DRIPseq-rep1
Read1 Mean Length,150,144,SRX5290927_OSKM-D1-DRIPseq-rep1
Read2 Mean Length,150,144,SRX5290927_OSKM-D1-DRIPseq-rep1
GC Content,0.429369,0.424544,SRX5290927_OSKM-D1-DRIPseq-rep1
Total Reads (millions),59.550636,57.864376,SRX5290928_OSKM-D1-DRIPseq-rep2
Total Bases (millions),8932.5954,8468.388232,SRX5290928_OSKM-D1-DRIPseq-rep2
Q20 Bases (millions),8599.095077,8231.112762,SRX5290928_OSKM-D1-DRIPseq-rep2
Q30 Bases (millions),8234.895209,7923.487934,SRX5290928_OSKM-D1-DRIPseq-rep2
Q20 Rate,0.962665,0.971981,SRX5290928_OSKM-D1-DRIPseq-rep2
Q30 Rate,0.921893,0.935655,SRX5290928_OSKM-D1-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290928_OSKM-D1-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290928_OSKM-D1-DRIPseq-rep2
GC Content,0.427545,0.4237,SRX5290928_OSKM-D1-DRIPseq-rep2
Total Reads (millions),81.466022,78.741822,SRX5290929_OSKM-D3-DRIPseq-rep1
Total Bases (millions),12219.9033,11504.835204,SRX5290929_OSKM-D3-DRIPseq-rep1
Q20 Bases (millions),11712.275383,11156.616506,SRX5290929_OSKM-D3-DRIPseq-rep1
Q30 Bases (millions),11191.048169,10724.426963,SRX5290929_OSKM-D3-DRIPseq-rep1
Q20 Rate,0.958459,0.969733,SRX5290929_OSKM-D3-DRIPseq-rep1
Q30 Rate,0.915805,0.932167,SRX5290929_OSKM-D3-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290929_OSKM-D3-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290929_OSKM-D3-DRIPseq-rep1
GC Content,0.429638,0.425498,SRX5290929_OSKM-D3-DRIPseq-rep1
Total Reads (millions),87.08842,84.3298,SRX5290930_OSKM-D3-DRIPseq-rep2
Total Bases (millions),13063.263,12284.434892,SRX5290930_OSKM-D3-DRIPseq-rep2
Q20 Bases (millions),12541.397455,11929.339891,SRX5290930_OSKM-D3-DRIPseq-rep2
Q30 Bases (millions),12004.0195,11485.48884,SRX5290930_OSKM-D3-DRIPseq-rep2
Q20 Rate,0.960051,0.971094,SRX5290930_OSKM-D3-DRIPseq-rep2
Q30 Rate,0.918914,0.934963,SRX5290930_OSKM-D3-DRIPseq-rep2
Read1 Mean Length,150,145,SRX5290930_OSKM-D3-DRIPseq-rep2
Read2 Mean Length,150,145,SRX5290930_OSKM-D3-DRIPseq-rep2
GC Content,0.428603,0.424609,SRX5290930_OSKM-D3-DRIPseq-rep2
Total Reads (millions),74.040262,71.285794,SRX5290931_OSKM-D5-DRIPseq-rep1
Total Bases (millions),11106.0393,10460.191518,SRX5290931_OSKM-D5-DRIPseq-rep1
Q20 Bases (millions),10603.891656,10128.980678,SRX5290931_OSKM-D5-DRIPseq-rep1
Q30 Bases (millions),10113.238348,9724.961171,SRX5290931_OSKM-D5-DRIPseq-rep1
Q20 Rate,0.954786,0.968336,SRX5290931_OSKM-D5-DRIPseq-rep1
Q30 Rate,0.91060700000000006,0.929712,SRX5290931_OSKM-D5-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290931_OSKM-D5-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290931_OSKM-D5-DRIPseq-rep1
GC Content,0.430539,0.426171,SRX5290931_OSKM-D5-DRIPseq-rep1
Total Reads (millions),74.716084,72.134808,SRX5290932_OSKM-D5-DRIPseq-rep2
Total Bases (millions),11207.4126,10454.102318,SRX5290932_OSKM-D5-DRIPseq-rep2
Q20 Bases (millions),10733.100564,10141.848725,SRX5290932_OSKM-D5-DRIPseq-rep2
Q30 Bases (millions),10254.901976,9752.277236,SRX5290932_OSKM-D5-DRIPseq-rep2
Q20 Rate,0.957679,0.970131,SRX5290932_OSKM-D5-DRIPseq-rep2
Q30 Rate,0.915011,0.932866,SRX5290932_OSKM-D5-DRIPseq-rep2
Read1 Mean Length,150,144,SRX5290932_OSKM-D5-DRIPseq-rep2
Read2 Mean Length,150,144,SRX5290932_OSKM-D5-DRIPseq-rep2
GC Content,0.430788,0.425754,SRX5290932_OSKM-D5-DRIPseq-rep2
Total Reads (millions),72.770574,70.322016,SRX5290933_OSKM-D7-DRIPseq-rep1
Total Bases (millions),10915.5861,10269.689794,SRX5290933_OSKM-D7-DRIPseq-rep1
Q20 Bases (millions),10451.267907,9955.847847,SRX5290933_OSKM-D7-DRIPseq-rep1
Q30 Bases (millions),9983.489848,9569.344212,SRX5290933_OSKM-D7-DRIPseq-rep1
Q20 Rate,0.957463,0.96944,SRX5290933_OSKM-D7-DRIPseq-rep1
Q30 Rate,0.914609,0.931805,SRX5290933_OSKM-D7-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290933_OSKM-D7-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290933_OSKM-D7-DRIPseq-rep1
GC Content,0.4344,0.430057,SRX5290933_OSKM-D7-DRIPseq-rep1
Total Reads (millions),118.425692,114.808936,SRX5290934_OSKM-D7-DRIPseq-rep2
Total Bases (millions),17763.8538,16865.021406,SRX5290934_OSKM-D7-DRIPseq-rep2
Q20 Bases (millions),17083.409532,16387.835016,SRX5290934_OSKM-D7-DRIPseq-rep2
Q30 Bases (millions),16332.897811,15754.168418,SRX5290934_OSKM-D7-DRIPseq-rep2
Q20 Rate,0.961695,0.971706,SRX5290934_OSKM-D7-DRIPseq-rep2
Q30 Rate,0.919446,0.934133,SRX5290934_OSKM-D7-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290934_OSKM-D7-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290934_OSKM-D7-DRIPseq-rep2
GC Content,0.459262,0.456685,SRX5290934_OSKM-D7-DRIPseq-rep2
Total Reads (millions),85.935453999999993,83.007336,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Total Bases (millions),12890.3181,11975.432708,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Q20 Bases (millions),12308.441662,11589.948658,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Q30 Bases (millions),11725.50841,11119.137074,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Q20 Rate,0.954859,0.96781,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Q30 Rate,0.909637,0.928496,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Read1 Mean Length,150,144,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Read2 Mean Length,150,144,SRX5290935_OSKM-iPSC-DRIPseq-rep1
GC Content,0.430919,0.425123,SRX5290935_OSKM-iPSC-DRIPseq-rep1
Total Reads (millions),89.364282,86.82482,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Total Bases (millions),13404.6423,12665.33903,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Q20 Bases (millions),12865.73921,12286.805498,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Q30 Bases (millions),12294.810387,11810.327729,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Q20 Rate,0.959797,0.970113,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Q30 Rate,0.917205,0.932492,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Read1 Mean Length,150,145,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Read2 Mean Length,150,145,SRX5290936_OSKM-iPSC-DRIPseq-rep2
GC Content,0.430037,0.426076,SRX5290936_OSKM-iPSC-DRIPseq-rep2
Total Reads (millions),129.282068,125.132656,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Total Bases (millions),19392.3102,18265.74193,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Q20 Bases (millions),18584.234365,17715.001305,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Q30 Bases (millions),17766.134439,17036.500431,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Q20 Rate,0.95833,0.969848,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Q30 Rate,0.916143,0.932702,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Read1 Mean Length,150,145,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Read2 Mean Length,150,145,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
GC Content,0.431498,0.427198,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
Total Reads (millions),154.281192,148.96587,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Total Bases (millions),23142.1788,21483.695694,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Q20 Bases (millions),22170.906005,20845.746605,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Q30 Bases (millions),21203.178917,20056.995743,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Q20 Rate,0.95803,0.970305,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Q30 Rate,0.916214,0.933592,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Read1 Mean Length,150,144,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Read2 Mean Length,150,144,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
GC Content,0.431717,0.4258,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
Total Reads (millions),171.461642,166.515792,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Total Bases (millions),25719.2463,24211.131346,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Q20 Bases (millions),24708.399,23503.844487,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Q30 Bases (millions),23648.939489,22621.082928,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Q20 Rate,0.960697,0.970787,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Q30 Rate,0.919504,0.934326,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Read1 Mean Length,150,145,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Read2 Mean Length,150,145,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
GC Content,0.427474,0.422937,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
Total Reads (millions),113.518884,109.950906,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Total Bases (millions),17027.8326,16108.324626,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Q20 Bases (millions),16340.173158,15625.889904,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Q30 Bases (millions),15616.557376,15018.017689,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Q20 Rate,0.959616,0.970051,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Q30 Rate,0.91712,0.932314,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
GC Content,0.427856,0.423841,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
Total Reads (millions),160.07807,154.920286,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Total Bases (millions),24011.7105,22393.937246,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Q20 Bases (millions),23054.021053,21757.540312,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Q30 Bases (millions),22081.455599,20960.81534,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Q20 Rate,0.960116,0.971582,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Q30 Rate,0.919612,0.936004,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Read1 Mean Length,150,144,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Read2 Mean Length,150,144,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
GC Content,0.426882,0.421905,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
Total Reads (millions),155.825102,150.660516,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Total Bases (millions),23373.7653,21943.232704,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Q20 Bases (millions),22441.041139,21323.634049,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Q30 Bases (millions),21504.142275,20551.442248,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Q20 Rate,0.960095,0.971764,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Q30 Rate,0.920012,0.936573,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Read1 Mean Length,150,145,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Read2 Mean Length,150,145,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
GC Content,0.423799,0.419507,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
Total Reads (millions),101.41079,98.19376,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Total Bases (millions),15211.6185,14417.378524,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Q20 Bases (millions),14601.863951,13991.206795,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Q30 Bases (millions),13954.914465,13446.265391,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Q20 Rate,0.959915,0.97044,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Q30 Rate,0.917385,0.932643,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
GC Content,0.427935,0.424159,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
Total Reads (millions),67.998718,65.814824,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Total Bases (millions),10199.8077,9666.089302,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Q20 Bases (millions),9777.047633,9369.813828,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Q30 Bases (millions),9327.346568,8991.218926,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Q20 Rate,0.958552,0.969349,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Q30 Rate,0.914463,0.930182,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
GC Content,0.428444,0.424728,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
Total Reads (millions),56.765426,54.071326,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Total Bases (millions),8514.8139,7928.056448,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Q20 Bases (millions),8087.02395,7663.290044,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Q30 Bases (millions),7698.84974,7348.46665,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Q20 Rate,0.949759,0.966604,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Q30 Rate,0.904171,0.926894,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
GC Content,0.429901,0.424211,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
Total Reads (millions),97.533196,94.319622,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Total Bases (millions),14629.9794,13826.446326,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Q20 Bases (millions),14014.003382,13397.092473,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Q30 Bases (millions),13378.295944,12863.760763,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Q20 Rate,0.957896,0.968947,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Q30 Rate,0.914444,0.930374,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
GC Content,0.428599,0.424816,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
Total Reads (millions),92.053068,88.97323,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Total Bases (millions),13807.9602,12973.204814,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Q20 Bases (millions),13210.523218,12559.404213,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Q30 Bases (millions),12595.540451,12045.854009,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Q20 Rate,0.956732,0.968103,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Q30 Rate,0.912194,0.928518,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Read1 Mean Length,150,145,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Read2 Mean Length,150,145,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
GC Content,0.429309,0.42434500000000003,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
Total Reads (millions),79.73403,77.280402,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Total Bases (millions),11960.1045,11342.991024,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Q20 Bases (millions),11465.299786,10990.104642,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Q30 Bases (millions),10943.594687,10549.438208,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Q20 Rate,0.958629,0.968889,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Q30 Rate,0.915008,0.93004,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
GC Content,0.424837,0.421088,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
Total Reads (millions),76.11865,73.717474,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Total Bases (millions),11417.7975,10870.225926,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Q20 Bases (millions),10967.486248,10550.532462,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Q30 Bases (millions),10486.257089,10141.581021,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Q20 Rate,0.960561,0.97059,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Q30 Rate,0.918413,0.932969,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Read1 Mean Length,150,147,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Read2 Mean Length,150,147,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
GC Content,0.427262,0.423991,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
Total Reads (millions),69.56784,67.457186,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Total Bases (millions),10435.176,9936.819962,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Q20 Bases (millions),10020.406226,9644.169394,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Q30 Bases (millions),9579.098345,9270.679515,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Q20 Rate,0.960253,0.970549,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Q30 Rate,0.917962,0.932962,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Read1 Mean Length,150,147,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Read2 Mean Length,150,147,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
GC Content,0.428667,0.425604,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
Total Reads (millions),73.077792,70.649896,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Total Bases (millions),10961.6688,10451.022384,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Q20 Bases (millions),10504.411072,10129.386254,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Q30 Bases (millions),10018.227674,9718.830434,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Q20 Rate,0.958286,0.969224,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Q30 Rate,0.913933,0.929941,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Read1 Mean Length,150,147,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Read2 Mean Length,150,147,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
GC Content,0.425909,0.422993,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
Total Reads (millions),53.682326,52.073362,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Total Bases (millions),8052.3489,7624.972298,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Q20 Bases (millions),7731.631367,7398.740027,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Q30 Bases (millions),7389.425833,7110.05853,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Q20 Rate,0.960171,0.97033,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Q30 Rate,0.917673,0.93247,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Read1 Mean Length,150,146,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Read2 Mean Length,150,146,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
GC Content,0.43113,0.427304,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
Total Reads (millions),79.050848,76.352334,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Total Bases (millions),11857.6272,11169.270254,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Q20 Bases (millions),11350.27252,10822.00815,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Q30 Bases (millions),10832.991399,10392.774696,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Q20 Rate,0.957213,0.968909,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Q30 Rate,0.913588,0.930479,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Read1 Mean Length,150,146,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Read2 Mean Length,150,146,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
GC Content,0.428986,0.425151,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
Total Reads (millions),88.989014,86.024866,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Total Bases (millions),13348.3521,12517.472174,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Q20 Bases (millions),12770.090105,12118.931396,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Q30 Bases (millions),12180.974689,11630.086986,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Q20 Rate,0.956679,0.968161,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Q30 Rate,0.912545,0.929108,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Read1 Mean Length,150,145,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Read2 Mean Length,150,145,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
GC Content,0.425849,0.421216,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
Total Reads (millions),20.640722,19.411114,SRX5290955_RNaseHtreat-DRIPseq-rep1
Total Bases (millions),3096.1083,2784.17721,SRX5290955_RNaseHtreat-DRIPseq-rep1
Q20 Bases (millions),2927.123372,2697.939825,SRX5290955_RNaseHtreat-DRIPseq-rep1
Q30 Bases (millions),2795.596419,2599.284601,SRX5290955_RNaseHtreat-DRIPseq-rep1
Q20 Rate,0.94542,0.969026,SRX5290955_RNaseHtreat-DRIPseq-rep1
Q30 Rate,0.902939,0.933592,SRX5290955_RNaseHtreat-DRIPseq-rep1
Read1 Mean Length,150,143,SRX5290955_RNaseHtreat-DRIPseq-rep1
Read2 Mean Length,150,143,SRX5290955_RNaseHtreat-DRIPseq-rep1
GC Content,0.442864,0.434759,SRX5290955_RNaseHtreat-DRIPseq-rep1
Total Reads (millions),37.215052,36.59086,SRX5290956_RNaseHtreat-DRIPseq-rep2
Total Bases (millions),5582.2578,5232.566324,SRX5290956_RNaseHtreat-DRIPseq-rep2
Q20 Bases (millions),5454.861607,5144.424413,SRX5290956_RNaseHtreat-DRIPseq-rep2
